"Year","ID","n_points"
"2022-2023","206",40
"2022-2023","207",42
"2022-2023","208",28
"2022-2023","209",17
"2022-2023","210",25
"2022-2023","211",10
"2022-2023","212",26
"2022-2023","213",29
"2022-2023","214",5
"2022-2023","215",16
"2022-2023","216",5
"2022-2023","217",37
"2022-2023","219",25
"2022-2023","220",12
"2022-2023","221",6
"2022-2023","222",9
"2022-2023","224",15
"2022-2023","225",24
"2023-2024","104",19
"2023-2024","107",12
"2023-2024","108",23
"2023-2024","109",16
"2023-2024","111",7
"2023-2024","116",5
"2023-2024","118",24
"2023-2024","120b",13
"2023-2024","121",20
"2023-2024","123",10
"2023-2024","124",19
"2023-2024","125",6
"2023-2024","127",15
"2023-2024","130",14
"2023-2024","93b",8
"2023-2024","97",10
"2023-2024","98",6
"2023-2024","99",6
"2024-2025","608",13
"2024-2025","610",48
"2024-2025","614",25
"2024-2025","616",11
"2024-2025","617",32
"2024-2025","618b",6
"2024-2025","619",12
"2024-2025","620",31
"2024-2025","623",14
"2024-2025","625b",11
"2024-2025","626",23
"2024-2025","627",26
"2024-2025","630",22
"2024-2025","631",30
"2024-2025","633",10
"2024-2025","634",27
"2024-2025","635",18
"2024-2025","637",18
"2024-2025","641",9
"2024-2025","645",21
