LocationCode,YearCode,Year,CardinalPresence
QCAH,124,2023,y
QCAH,123,2022,y
QCAH,122,2021,y
QCAH,120,2019,y
QCAH,119,2018,y
QCAH,118,2017,y
QCAH,117,2016,y
QCAH,116,2015,y
QCAH,115,2014,y
QCAH,114,2013,y
QCAH,113,2012,y
QCAH,112,2011,y
QCAH,111,2010,y
QCAH,110,2009,y
QCAH,109,2008,y
QCAH,108,2007,y
QCAH,107,2006,y
QCAH,106,2005,y
QCAH,105,2004,y
QCAH,104,2003,y
QCAH,103,2002,y
QCAH,102,2001,y
QCAH,101,2000,y
QCAH,100,1999,y
QCAH,99,1998,y
QCAH,98,1997,y
QCAH,97,1996,y
QCAM,124,2023,n
QCAR,124,2023,y
QCAR,123,2022,y
QCBC,124,2023,y
QCBC,123,2022,y
QCBC,122,2021,y
QCBC,121,2020,y
QCBC,120,2019,y
QCBC,119,2018,y
QCBC,95,1994,y
QCBC,94,1993,y
QCBC,93,1992,y
QCBC,92,1991,y
QCBC,91,1990,y
QCBC,90,1989,y
QCBC,89,1988,y
QCBC,88,1987,y
QCBC,87,1986,y
QCBC,86,1985,y
QCBL,124,2023,y
QCBL,123,2022,y
QCBL,122,2021,y
QCBL,120,2019,y
QCBL,119,2018,y
QCBL,118,2017,y
QCBL,117,2016,y
QCBL,116,2015,y
QCBL,115,2014,y
QCBL,114,2013,y
QCBL,113,2012,y
QCBL,112,2011,y
QCBL,111,2010,y
QCBL,110,2009,y
QCBL,109,2008,y
QCBL,108,2007,y
QCBL,107,2006,y
QCBL,106,2005,y
QCBL,105,2004,y
QCBL,104,2003,y
QCBL,103,2002,y
QCBL,102,2001,y
QCBL,101,2000,y
QCBL,100,1999,y
QCBL,99,1998,y
QCBL,98,1997,y
QCBL,97,1996,y
QCBL,96,1995,y
QCBL,95,1994,y
QCBL,94,1993,y
QCBL,93,1992,y
QCBL,92,1991,y
QCBL,91,1990,y
QCBO,124,2023,y
QCBO,119,2018,y
QCBO,118,2017,y
QCBO,116,2015,y
QCBO,115,2014,y
QCBS,124,2023,y
QCBS,123,2022,y
QCBS,122,2021,y
QCBS,121,2020,y
QCBS,120,2019,y
QCBS,119,2018,y
QCBS,118,2017,y
QCBS,117,2016,y
QCBS,116,2015,y
QCBS,115,2014,y
QCBS,114,2013,y
QCBS,113,2012,y
QCBS,112,2011,y
QCBS,111,2010,y
QCBS,110,2009,y
QCBS,109,2008,y
QCBS,108,2007,y
QCBS,107,2006,y
QCBS,106,2005,y
QCBS,105,2004,y
QCBS,104,2003,y
QCBS,103,2002,y
QCBU,124,2023,n
QCBU,123,2022,n
QCBU,122,2021,n
QCBU,121,2020,n
QCBU,120,2019,n
QCBU,119,2018,n
QCBU,118,2017,n
QCBU,117,2016,n
QCBU,116,2015,n
QCCC,124,2023,y
QCCC,119,2018,y
QCCC,118,2017,y
QCCC,117,2016,y
QCCC,116,2015,y
QCCC,115,2014,y
QCCC,114,2013,y
QCCC,113,2012,y
QCCC,112,2011,y
QCCC,111,2010,y
QCCC,110,2009,y
QCCC,109,2008,y
QCCC,108,2007,y
QCCC,107,2006,y
QCCC,106,2005,y
QCCC,105,2004,y
QCCC,104,2003,y
QCCC,103,2002,y
QCCC,102,2001,y
QCCC,101,2000,y
QCCC,100,1999,y
QCCC,99,1998,y
QCCC,98,1997,y
QCCC,97,1996,y
QCCC,96,1995,y
QCCC,95,1994,y
QCCC,94,1993,y
QCCC,93,1992,y
QCCC,92,1991,y
QCCC,91,1990,y
QCCC,90,1989,y
QCCC,89,1988,y
QCCH,124,2023,y
QCCJ,124,2023,y
QCCJ,123,2022,y
QCCJ,122,2021,y
QCCJ,121,2020,y
QCCJ,120,2019,y
QCCJ,119,2018,y
QCCJ,118,2017,y
QCCJ,115,2014,y
QCCJ,112,2011,y
QCCJ,111,2010,y
QCCJ,110,2009,y
QCCJ,109,2008,y
QCCJ,108,2007,y
QCCJ,107,2006,y
QCCJ,106,2005,y
QCCJ,105,2004,y
QCCJ,104,2003,y
QCCJ,103,2002,y
QCCJ,102,2001,y
QCCJ,101,2000,y
QCCJ,100,1999,y
QCCJ,99,1998,y
QCCJ,98,1997,y
QCCJ,97,1996,y
QCCJ,96,1995,y
QCCJ,95,1994,y
QCCJ,94,1993,y
QCCJ,93,1992,y
QCCJ,92,1991,y
QCCJ,91,1990,y
QCCJ,90,1989,y
QCCJ,89,1988,y
QCCJ,88,1987,y
QCCJ,87,1986,y
QCCJ,86,1985,y
QCCJ,85,1984,y
QCCJ,84,1983,y
QCCJ,83,1982,y
QCCJ,82,1981,y
QCCJ,81,1980,y
QCCJ,80,1979,y
QCCJ,79,1978,y
QCCJ,78,1977,y
QCCJ,77,1976,y
QCCJ,76,1975,y
QCCS,124,2023,y
QCCS,123,2022,y
QCCS,122,2021,y
QCCS,121,2020,y
QCCS,120,2019,y
QCCS,119,2018,y
QCCS,118,2017,y
QCCS,117,2016,y
