Lon,Lat,Station_ID,Date,Year,Month,Day,Max_temp,Min_temp,Mean_temp,Total_precip,Snow_on_grnd,Speed_max_gust_wind,,,,,,,,,,
-73.93,45.43,SADB_1,2022-01-01,2022,1,1,1,-2.4,-0.7,2,8,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-01-02,2022,1,2,-2.3,-16.3,-9.3,5.1,10,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-01-03,2022,1,3,-12.3,-23.5,-17.9,0,12,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-01-04,2022,1,4,-2.7,-18.4,-10.6,0,12,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-01-05,2022,1,5,2,-7.9,-2.9,0.6,11,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-01-06,2022,1,6,1.7,-8.1,-3.2,0,10,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-01-07,2022,1,7,-6.5,-15.5,-11,1.3,10,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-01-08,2022,1,8,-9,-20,-14.5,0,11,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-01-09,2022,1,9,3,-11.2,-4.1,3.8,10,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-01-10,2022,1,10,-7.2,-21.2,-14.2,0.4,10,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-01-11,2022,1,11,-15.2,-25.3,-20.2,0.2,11,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-01-12,2022,1,12,-9,-17.3,-13.2,0.8,10,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-01-13,2022,1,13,-7.6,-10.2,-8.9,1.1,16,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-01-14,2022,1,14,-7,-23.8,-15.4,0.2,13,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-01-15,2022,1,15,-19.8,-26,-22.9,0.2,13,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-01-16,2022,1,16,-13.2,-28,-20.6,0,13,0,,,,,,,,,,
-73.93,45.43,SADB_1,2022-01-17,2022,1,17,-3.4,-16.4,-9.9,7.7,18,0,,,,,,,,,,
