"ID","status","bird.num","motusTagID","dos","tspre","tspost","tsmax.dt","meanpre","meanpost","varpre","varpost","cpt","batch","postfilter","time","Date","prev.night","prev.night.sunset.UTC","sunrise.UTC","sunset.UTC","cpt.ss","postfiltercol","postfilterlntyp","Site","Winter","Lon","Lat","Station_ID","Year","Month","Day","Max_temp","Min_temp","Mean_temp","Total_precip","Snow_on_grnd","Speed_max_gust_wind","datetime_utc","datetime_mtl"
"217","end",2,68917,87,0,7.3,"45:37.5",1.036663467,0.829471341,0.499716952,0.226818274,"03:17.5",3,"good",0.05,2023-01-21,"2023-01-20","2023-01-20 21:45","2023-01-21 12:29","2023-01-21 21:47",137.5577733,"black",1,"SDB","1",-73.74,45.47,"PETI",2023,1,21,-1,-4,-2.5,0.2,23,0,2023-01-21 00:03:00,2023-01-20 19:03:00
"225","end",5,68925,159,7.3,7.3,"41:44.8",1.502437013,0.590417759,0.714510522,0.114595842,"03:06.8",4,"good",0.05,2023-04-16,"2023-04-15","2023-04-15 23:41","2023-04-16 10:10","2023-04-16 23:43",21.29619167,"black",1,"SDB","1",-73.74,45.47,"PETI",2023,4,16,24.1,7,15.6,0,0,34,2023-04-16 00:03:00,2023-04-15 20:03:00
"212","end",2,68912,90,0,0,"45:38.7",0.616574906,0.589021492,0.629179351,0.181893868,"04:38.9",2,"good",0.066666667,2023-01-21,"2023-01-20","2023-01-20 21:45","2023-01-21 12:29","2023-01-21 21:47",138.915535,"black",1,"SDB","1",-73.74,45.47,"PETI",2023,1,21,-1,-4,-2.5,0.2,23,0,2023-01-21 00:04:00,2023-01-20 19:04:00
"220","end",5,68920,54,7.3,7.3,"48:53.4",0.78117317,0.581003091,0.456596385,0.073488783,"05:04.6",3,"good",0.083333333,2022-12-25,"2022-12-24","2022-12-24 21:17","2022-12-25 12:35","2022-12-25 21:18",167.127455,"black",1,"SDB","1",-73.74,45.47,"PETI",2022,12,25,-3.3,-7.6,-5.4,0.5,10,59,2022-12-25 00:05:00,2022-12-24 19:05:00
"220","end",5,68920,12,7.3,0,"27:55.8",0.900596834,0.46085074,0.156608905,0.085008548,"06:49.6",3,"good",0.1,2022-11-13,"2022-11-12","2022-11-12 21:30","2022-11-13 11:53","2022-11-13 21:29",155.9769167,"black",1,"SDB","1",-73.74,45.47,"PETI",2022,11,13,7.1,-1.9,2.6,0.2,0,37,2022-11-13 00:06:00,2022-11-12 19:06:00
"129","end",8,77904,9,0,0,"59:53.6",0.715492805,0.487110143,0.192834332,0.056416575,"06:05.2",8,"good",0.1,2023-10-31,"2023-10-30","2023-10-30 21:48","2023-10-31 11:34","2023-10-31 21:46",137.8196233,"black",1,"BDU","2",-73.74,45.47,"PETI",2023,10,31,4.5,-1.3,1.6,1.5,0,0,2023-10-31 00:06:00,2023-10-30 20:06:00
"109","end",10,77886,96,0,9.7,"24:50.1",0.696896589,0.451720763,0.35391572,0.092266327,"08:20.4",6,"good",0.133333333,2024-02-14,"2024-02-13","2024-02-13 22:19","2024-02-14 12:01","2024-02-14 22:21",108.3574133,"black",1,"BDU","2",-73.74,45.47,"PETI",2024,2,14,-4.3,-10.7,-7.5,0.7,0,53,2024-02-14 00:08:00,2024-02-13 19:08:00
"104","end",5,77881,175,0,9.7,"59:57.8",1.625665828,0.91460624,0.889559215,0.403354603,"11:56.3",6,"good",0.183333333,2024-04-27,"2024-04-26","2024-04-26 23:56","2024-04-27 9:50","2024-04-27 23:58",14.95506334,"black",1,"SDB","2",-73.74,45.47,"PETI",2024,4,27,19.9,5,12.5,0.6,0,41,2024-04-27 00:11:00,2024-04-26 20:11:00
"207","end",2,68907,36,0,0,"38:26.3",0.50244825,0.422891217,0.124197552,0.089867114,"13:22.6",1,"good",0.216666667,2022-11-13,"2022-11-12","2022-11-12 21:30","2022-11-13 11:53","2022-11-13 21:29",162.5269833,"black",1,"SDB","1",-73.74,45.47,"PETI",2022,11,13,7.1,-1.9,2.6,0.2,0,37,2022-11-13 00:13:00,2022-11-12 19:13:00
"210","end",5,68910,44,7.3,64765.55,"59:55.6",1.024954432,0.541786848,0.21441193,0.063083193,"19:08.7",1,"good",0.316666667,2022-11-26,"2022-11-25","2022-11-25 21:19","2022-11-26 12:10","2022-11-26 21:18",179.961065,"black",1,"SDB","1",-73.74,45.47,"PETI",2022,11,26,8.6,0.8,4.7,0,0,37,2022-11-26 00:19:00,2022-11-25 19:19:00
