"","Disp.","Band","Species","Wing","Age","Aged","Sex","Sexed","Fat","Weight","Date","Time","Bander","Scribe","Net","Notes","Exported","Valid","Invalid","Errors","History","Age.1","Sex.1","Location","Status","Condition","Code","Program","F","T","R2","3","R4","R5","R6","7","UC","S","SL","TC","SC","SD","CE","TP","OT","AL","TA","Z","NA","NA.1","NA.2","NA.3","NA.4","NA.5","NA.6","NA.7","NA.8","NA.9","NA.10","NA.11","NA.12","NA.13","NA.14","NA.15","NA.16","NA.17","NA.18","NA.19","NA.20","Replaced Band Number for Disposition 5 captures","DET Category Override","Aux Marker Type","Is Aux Marker Coded?","Aux Marker Code","Aux Marker Band Color","Aux Marker Code Color","Left Leg Color 1","Left Leg Color 2","Left Leg Color 3","R Leg Color 1","R Leg Color 2","R Leg Color 3","Last Bandit Export Timestamp","Count Bandit Exports","Creation Timestamp","Modify Timestamp","DET Category","To Be Deleted","Days since most recent prior capture","DET Date","Original Capture ID","NA.21","NA.22","NA.23","NA.24","NA.25","NA.26","NA.27","NA.28","NA.29","NA.30","NA.31","NA.32","NA.33","NA.34","NA.35","NA.36","NA.37","NA.38","Flags","Year","Season","week"
"157","1","86110674","NOCA","91","2","1","4","1","0","47","2004-09-30","10:50","MAG","","0","","FALSE","","","FALSE","FALSE","0","0","MBO","300","","","FMMP2004","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","9/30/2004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2004,"FMMP",40
"160","1","86110675","NOCA","95","2","1","5","1","0","43","2004-09-30","11:00","MAG","","0","","FALSE","","","FALSE","FALSE","0","0","MBO","300","","","FMMP2004","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","9/30/2004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2004,"FMMP",40
"195","1","78234971","NOCA","92","2","1","4","1","0","48","2004-10-01","11:00","MAG","","0","","FALSE","","","FALSE","FALSE","0","0","MBO","300","","","FMMP2004","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","10/1/2004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2004,"FMMP",40
"207","1","86110676","NOCA","89","0","1","5","1","0","41","2004-10-03","08:20","MAG","","0","","FALSE","","","FALSE","FALSE","0","0","MBO","300","","","FMMP2004","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","10/3/2004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2004,"FMMP",40
"256","1","86110677","NOCA","86","2","1","5","1","0","40","2004-10-04","08:20","MAG","","0","","FALSE","","","FALSE","FALSE","0","0","MBO","300","","","FMMP2004","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","10/4/2004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2004,"FMMP",40
"653","R","78234971","NOCA","89","2","1","4","1","0","48","2004-10-18","11:50","MAG","GEG","D1","","FALSE","","","FALSE","FALSE","","","MBO","300","7","89","FMMP2004","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Repeat","","17","10/18/2004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2004,"FMMP",42
"701","1","85208291","NOCA","88","2","1","5","1","0","42","2004-10-22","12:10","CLR","","0","","FALSE","","","FALSE","FALSE","0","0","MBO","300","","","FMMP2004","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","10/22/2004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2004,"FMMP",43
"707","1","115234001","NOCA","96","1","1","4","1","0","47","2004-10-23","08:00","LAL","","0","","FALSE","","","FALSE","FALSE","0","0","MBO","300","","","FMMP2004","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","10/23/2004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2004,"FMMP",43
"748","R","78234971","NOCA","88","2","1","4","1","0","46","2004-10-25","09:20","CLR","MAG","C2","","FALSE","","","TRUE","FALSE","","","MBO","300","7","89","FMMP2004","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Repeat","","7","10/25/2004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2004,"FMMP",43
"789","R","86110677","NOCA","89","2","1","5","1","1","45","2004-10-25","11:40","MAH","BHM","F3","","FALSE","","","TRUE","FALSE","","","MBO","300","7","89","FMMP2004","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Repeat","","21","10/25/2004","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2004,"FMMP",43
