mfgID,Site,Winter,Release_date,Last_detection,Survived,Death_cause,Comments
208,MBO,1,07/10/2022,11/10/2022,unknown,na,
207,MBO,1,09/10/2022,19/03/2023,suspected_dead,unknown,
206,MBO,1,12/10/2022,03/04/2023,yes,na,
209,MBO,1,14/10/2022,01/02/2023,no,predation,"Tag fallen, body found"
210,MBO,1,14/10/2022,21/03/2023,no,predation,Found tag inside wood duck nest box
211,MBO,1,17/10/2022,24/03/2023,yes,na,
213,MBO,1,23/10/2022,21/03/2023,suspected_dead,na,
212,MBO,1,24/10/2022,03/04/2023,yes,na,
214,MBO,1,24/10/2022,22/11/2022,unknown,na,
215,MBO,1,26/10/2022,03/04/2023,yes,na,
216a,MBO,1,27/10/2022,07/11/2022,suspected_dead,na,Tag redeployed as 216b
217,MBO,1,27/10/2022,04/03/2023,yes,na,
218,MBO,1,28/10/2022,31/10/2023,unknown,na,
219,MBO,1,31/10/2022,03/04/2023,yes,na,
220,MBO,1,02/11/2022,21/12/2022,unknown,na,
221,MBO,1,03/11/2022,21/03/2023,yes,na,
222,MBO,1,03/11/2022,17/03/2023,yes,na,
224,MBO,1,04/11/2022,08/02/2023,unknown,na,
223,MBO,1,09/11/2022,09/11/2022,unknown,na,
225,MBO,1,09/11/2022,13/04/2023,yes,na,
216b,MBO,1,09/11/2022,27/03/2023,yes,na,
119,BDU,2,12/10/2023,16/10/2023,no,predation,Tag lost not redeployed
120a,CON,2,14/10/2023,18/10/2023,no,collision,Suspected window collision redeployed as 120b
127a,MBO,2,20/10/2023,27/10/2023,no,predation,Found dead in bushes at MBO
93a,MBO,2,29/10/2023,22/12/2023,no,unknown,Redeployed as 93b
98,BDU,2,31/10/2023,07/05/2024,no,unknown,Burried found bands but did not get to tag
97,MBO,2,31/10/2023,12/02/2024,no,predation,Found under tree
118,MBO,2,12/10/2023,14/04/2024,yes,na,
123,MBO,2,19/10/2023,01/04/2024,unknown,na,
125,MBO,2,19/10/2023,29/10/2024,unknown,na,
120b,MBO,2,25/10/2023,07/05/2024,yes,na,
127b,MBO,2,02/11/2023,13/03/2024,unknown,na,
104,MBO,2,05/11/2023,03/05/2024,yes,na,
116,MBO,2,23/11/2023,05/03/2024,yes,na,
124,MBO,2,19/10/2023,08/03/2024,yes,na,
99,MBO,2,01/11/2023,25/01/2024,unknown,na,
102,MBO,2,04/11/2023,15/01/2024,unknown,na,
103,MBO,2,05/11/2023,05/11/2023,unknown,na,
111,MBO,2,14/11/2023,29/01/2024,unknown,na,
129,BDU,2,23/10/2023,23/10/2023,unknown,na,
92,BDU,2,29/10/2023,15/11/2023,unknown,na,
93b,BDU,2,08/12/2023,07/04/2024,yes,na,
106,BDU,2,05/11/2023,05/11/2023,unknown,na,
114,BDU,2,20/11/2023,23/04/2024,yes,na,
115,BDU,2,20/11/2023,20/11/2023,unknown,na,
121,BDU,2,18/10/2023,20/03/2024,yes,na,
126,BDU,2,19/10/2023,31/10/2023,unknown,na,
130,BDU,2,23/10/2023,01/04/2024,yes,na,
95,BDU,2,31/10/2023,06/11/2023,unknown,na,
100,BDU,2,02/11/2023,03/05/2024,yes,na,
105,BDU,2,05/11/2023,30/12/2023,unknown,na,Leg loop seemed loose bird may damage the tag
109,BDU,2,11/11/2023,10/04/2024,yes,na,
131,CON,2,26/10/2023,27/10/2023,unknown,na,
134,CON,2,27/10/2023,03/01/2024,unknown,na,
91,CON,2,28/10/2023,30/11/2023,unknown,na,
94,CON,2,31/10/2023,01/11/2023,unknown,na,
101,CON,2,03/11/2023,10/11/2023,unknown,na,
110,CON,2,14/11/2023,24/11/2023,unknown,na,
113,CON,2,15/11/2023,19/11/2023,unknown,na,
133,CON,2,26/10/2023,26/10/2023,unknown,na,
90,CON,2,28/10/2023,01/11/2023,unknown,na,
96,CON,2,31/10/2023,10/11/2023,unknown,na,
107,CON,2,06/11/2023,16/03/2024,yes,na,
108,CON,2,06/11/2023,01/03/2024,yes,na,Reported sighting in fall 2024
112,CON,2,20/11/2023,20/11/2023,unknown,na,
117,CON,2,23/11/2023,23/11/2023,unknown,na,
625b,MBO,3,18/12/2024,17/04/2025,yes,na,
636b,MBO,3,18/12/2024,11/02/2025,unknown,na,
636,MBO,3,13/11/2024,23/11/2024,no,unknown,Tag fallen no bird found
641,MBO,3,15/11/2024,14/05/2025,yes,na,
645,MBO,3,15/11/2024,22/04/2025,yes,na,
618,BDU,3,25/10/2024,03/11/2024,no,predation,Redeployed as 618b
611,BDU,3,14/10/2024,18/10/2024,unknown,na,
617,BDU,3,25/10/2024,19/04/2025,yes,na,
629,BDU,3,12/11/2024,17/11/2024,unknown,na,
635,BDU,3,13/11/2024,09/03/2025,yes,na,
637,BDU,3,13/11/2024,24/04/2025,yes,na,
640,BDU,3,15/11/2024,28/03/2025,yes,na,
608,BDU,3,23/10/2024,20/02/2025,no,disease,suspected conjunctivitis by prior observations
609,BDU,3,24/10/2024,13/11/2024,unknown,na,
614,BDU,3,21/10/2024,24/04/2025,yes,na,
620,BDU,3,29/10/2024,06/04/2025,yes,na,
623,BDU,3,31/10/2024,22/04/2025,yes,na,
627,BDU,3,03/11/2024,22/04/2025,yes,na,
630,BDU,3,07/11/2024,10/04/2025,yes,na,
631,BDU,3,12/11/2024,24/04/2025,yes,na,
632,BDU,3,06/11/2024,17/11/2024,unknown,na,
613,CON,3,18/10/2024,28/10/2024,no,unknown,
615,CON,3,24/10/2024,28/10/2024,unknown,na,
616,CON,3,24/10/2024,04/01/2025,unknown,na,
621,CON,3,29/10/2024,18/11/2024,unknown,na,
622,CON,3,30/10/2024,30/10/2024,unknown,na,
626,CON,3,03/11/2024,15/02/2025,unknown,na,
628,CON,3,05/11/2024,08/11/2024,unknown,na,
634,CON,3,13/11/2024,12/03/2025,yes,na,
638,CON,3,13/11/2024,13/11/2024,unknown,na,
639,CON,3,15/11/2024,15/11/2024,unknown,na,
642,CON,3,15/11/2024,06/12/2024,unknown,na,
625,CON,3,02/11/2024,08/11/2024,no,collision,Redeployed as 625b
610,CON,3,15/10/2024,27/05/2025,yes,na,
612,CON,3,17/10/2024,17/10/2024,unknown,na,
613b,CON,3,03/11/2024,03/11/2024,unknown,na,
618b,CON,3,04/11/2024,18/01/2025,unknown,na,
619,CON,3,27/10/2024,27/01/2025,unknown,na,
624,CON,3,31/10/2024,31/10/2024,unknown,na,
633,CON,3,12/11/2024,31/12/2024,unknown,na,
643,CON,3,15/11/2024,24/11/2024,unknown,na,
644,CON,3,15/11/2024,29/11/2024,unknown,na,
