bird.num,motusTagID,dos,tspre,tspost,tsmax.dt,meanpre,meanpost,varpre,varpost,cpt,batch,postfilter,time,Dates,sunrise.UTC,cpt.sr,postfiltercol,postfilterlntyp
5,77881,206,9.7,0,14:15.9,1.175642904,0.654383809,0.235338763,0.136146818,15:14.4,6,bad,6.25,2024-05-28,2024-05-28 9:14,-179.1605617,red,2
5,77881,217,9.7,0,08:55.8,0.248686448,0.488909613,0.008750051,0.09154575,18:38.0,6,good,6.3,2024-06-08,2024-06-08 9:09,-170.40024,black,1
5,77881,225,9.7,9.7,08:00.9,0.493800913,0.382568455,0.115111164,0.056527402,24:01.3,6,bad,6.4,2024-06-16,2024-06-16 9:08,-163.9955467,red,2
5,77881,221,0,9.7,08:04.2,0.277847223,0.473982015,0.041555882,0.091348524,46:32.7,6,good,6.766666667,2024-06-12,2024-06-12 9:08,-141.67147,black,1
5,77881,176,0,9.7,23:06.0,0.990582642,0.597488269,0.266159875,0.091306185,53:47.4,6,bad,6.883333333,2024-04-28,2024-04-28 9:49,-175.34379,red,2
5,77881,241,9.7,9.7,08:37.7,0.344118764,0.412101942,0.03579058,0.067779046,57:56.8,6,good,6.95,2024-07-02,2024-07-02 9:13,-135.236315,black,1
5,77881,226,9.7,9.7,08:00.1,0.500240267,0.384642996,0.087187936,0.052031865,00:03.4,6,bad,7,2024-06-17,2024-06-17 9:08,-128.009935,red,2
5,77881,219,9.7,0,08:25.1,0.40684549,0.514602404,0.073889551,0.085746905,06:07.9,6,good,7.1,2024-06-10,2024-06-10 9:08,-122.4190917,black,1
5,77881,267,9.7,9.7,36:48.8,0.342803488,0.439836559,0.043013604,0.075069133,08:11.3,6,good,7.133333333,2024-07-28,2024-07-28 9:36,-148.7447967,black,1
5,77881,268,9.7,9.7,38:02.4,0.351927314,0.588808028,0.048368299,0.104445836,09:24.9,6,good,7.15,2024-07-29,2024-07-29 9:38,-148.6509467,black,1
5,77881,245,9.7,9.7,15:47.9,0.518527957,0.66459946,0.110207206,0.103368406,12:04.0,6,bad,7.2,2024-07-06,2024-07-06 9:15,-123.7494933,red,2
5,77881,213,0,9.7,10:26.7,0.618108617,0.559526757,0.102219426,0.098212437,20:46.0,6,bad,7.333333333,2024-06-04,2024-06-04 9:10,-109.682885,red,2
5,77881,252,9.7,9.7,21:28.5,0.558954251,0.417334529,0.0962984,0.064229942,27:07.2,6,bad,7.45,2024-07-13,2024-07-13 9:21,-114.3635117,red,2
5,77881,231,9.7,9.7,08:48.7,0.402681206,0.522816435,0.058259021,0.092172922,34:10.6,6,good,7.566666667,2024-06-22,2024-06-22 9:08,-94.706185,black,1
5,77881,237,9.7,9.7,10:59.8,0.6156923,0.429142986,0.103412068,0.074017995,36:50.7,6,bad,7.6,2024-06-28,2024-06-28 9:11,-94.20434,red,2
5,77881,228,9.7,9.7,08:12.3,0.324454564,0.423588709,0.058913101,0.098018857,39:23.4,6,good,7.65,2024-06-19,2024-06-19 9:08,-88.893905,black,1
5,77881,263,9.7,9.7,32:23.3,0.436734203,0.499725607,0.056278282,0.088262159,42:14.2,6,good,7.7,2024-07-24,2024-07-24 9:32,-110.23068,black,1
5,77881,229,9.7,9.7,08:18.0,0.273771652,0.40392765,0.01699566,0.086824038,44:58.8,6,good,7.733333333,2024-06-20,2024-06-20 9:08,-83.46985,black,1
5,77881,218,9.7,9.7,08:45.3,0.427116532,0.524019754,0.064261359,0.09420846,49:28.0,6,good,7.816666667,2024-06-09,2024-06-09 9:08,-79.29991,black,1
5,77881,262,9.7,9.7,31:19.4,0.383385223,0.464567019,0.05522865,0.082329819,56:21.9,6,good,7.933333333,2024-07-23,2024-07-23 9:31,-95.01845333,black,1
5,77881,272,9.7,9.7,49:20.6,0.393781967,0.607685371,0.060565268,0.119114105,13:19.6,6,good,8.216666667,2024-08-02,2024-08-02 9:42,-89.39061167,black,1
8,77874,215,9.7,9.7,11:49.8,0.568936168,0.621236544,0.103353126,0.112469267,17:55.3,5,good,8.283333333,2024-06-01,2024-06-01 9:11,-54.01156833,black,1
8,77874,224,9.7,0,08:31.6,0.615771225,0.559649346,0.099434792,0.087055937,22:22.8,5,bad,8.366666667,2024-06-10,2024-06-10 9:08,-46.17073167,red,2
8,77874,257,9.7,0,21:19.7,0.545214751,0.605305391,0.107915059,0.093547242,24:40.9,5,bad,8.4,2024-07-13,2024-07-13 9:21,-56.80161,red,2
7,90363,113,9.7,0,24:22.4,0.64762034,1.284833814,0.120654802,0.648124542,31:20.6,12,good,8.516666667,2025-03-07,2025-03-07 11:24,-173.0567,black,1
5,77881,211,0,0,11:17.0,0.593410944,0.498395034,0.104241103,0.099354728,33:42.1,6,bad,8.55,2024-06-02,2024-06-02 9:11,-37.69897166,red,2
5,77881,212,0,9.7,10:47.0,0.588519208,0.53014013,0.099119346,0.095658477,36:06.6,6,bad,8.6,2024-06-03,2024-06-03 9:10,-34.80589667,red,2
2,90345,153,9.7,4335.4,31:00.4,0.600229178,1.216642153,0.074034315,0.791062104,43:26.1,11,good,8.716666667,2025-04-04,2025-04-04 10:31,-107.8146,black,1
5,77881,265,9.7,9.7,34:40.9,0.440093759,0.376765804,0.069131577,0.045858656,46:36.0,6,bad,8.766666667,2024-07-26,2024-07-26 9:34,-48.08302333,red,2
1,68906,173,65.69,51.09,35:49.7,0.741477815,1.144763375,0.084192469,0.504695514,49:27.9,1,good,8.816666667,2023-04-02,2023-04-02 10:35,-106.467735,black,1
8,77874,238,0,9.7,09:25.8,0.627109524,0.650886857,0.086924672,0.105210498,48:59.5,5,good,8.816666667,2024-06-24,2024-06-24 9:09,-20.475275,black,1
5,77881,204,9.7,0,15:45.3,0.531456294,0.577164958,0.085515987,0.122925308,49:19.6,6,good,8.816666667,2024-05-26,2024-05-26 9:15,-26.54049,black,1
5,77881,205,0,9.7,15:05.4,0.494914369,0.664526962,0.083809998,0.126379029,49:57.4,6,good,8.816666667,2024-05-27,2024-05-27 9:15,-25.16054167,black,1
5,77881,202,9.7,9.7,17:24.2,0.525693496,0.607371959,0.094983903,0.142999912,52:54.9,6,good,8.866666667,2024-05-24,2024-05-24 9:17,-24.551165,black,1
8,77874,207,9.7,9.7,17:21.3,0.634771239,0.707537446,0.099929058,0.142881619,53:21.2,5,good,8.883333333,2024-05-24,2024-05-24 9:17,-24.11293667,black,1
5,77881,244,9.7,9.7,15:03.4,0.446072049,0.491590542,0.090978515,0.126828942,53:58.2,6,good,8.883333333,2024-07-05,2024-07-05 9:15,-21.14690667,black,1
4,68909,18,218.97,8364.76,37:56.7,0.711386243,1.101428651,0.079751967,0.377893596,55:42.7,1,good,8.916666667,2022-10-31,2022-10-31 11:34,-159.05533,black,1
1,68911,154,7.3,7.3,14:30.2,0.849379389,0.703841135,0.123154399,0.103195038,55:45.2,2,bad,8.916666667,2023-03-19,2023-03-19 11:02,-126.9307417,red,2
8,77874,209,9.7,9.7,15:51.2,0.57615207,0.635978645,0.084397624,0.119539554,57:40.2,5,good,8.95,2024-05-26,2024-05-26 9:15,-18.19584333,black,1
5,77881,207,9.7,9.7,13:36.2,0.397788905,0.486793982,0.09498814,0.137225778,57:31.2,6,good,8.95,2024-05-29,2024-05-29 9:13,-16.212515,black,1
