"COM_NAME","SPECIES_CODE","Count_yr","SpeciesNumber","NumberByPartyHours","ReportingCounts","ReportingObservers","Province_State","year"
"Northern Cardinal","norcar",58,0,0,1,5,"ME",1957
"Northern Cardinal","norcar",60,0,0,1,6,"ME",1959
"Northern Cardinal","norcar",61,0,0,1,60,"ME",1960
"Northern Cardinal","norcar",69,4,0.0183,2,14,"ME",1968
"Northern Cardinal","norcar",70,2,0.0056,1,11,"ME",1969
"Northern Cardinal","norcar",71,8,0.0223,2,17,"ME",1970
"Northern Cardinal","norcar",72,13,0.0295,5,20,"ME",1971
"Northern Cardinal","norcar",73,7,0.0129,4,22,"ME",1972
"Northern Cardinal","norcar",74,34,0.0499,13,42,"ME",1973
"Northern Cardinal","norcar",75,18,0.0244,7,67,"ME",1974
"Northern Cardinal","norcar",76,46,0.0595,11,82,"ME",1975
"Northern Cardinal","norcar",77,67,0.072,12,58,"ME",1976
"Northern Cardinal","norcar",78,34,0.0335,10,55,"ME",1977
"Northern Cardinal","norcar",79,63,0.0631,15,60,"ME",1978
"Northern Cardinal","norcar",80,112,0.0995,18,49,"ME",1979
"Northern Cardinal","norcar",81,129,0.1197,18,53,"ME",1980
"Northern Cardinal","norcar",82,153,0.139,20,68,"ME",1981
"Northern Cardinal","norcar",83,106,0.0933,15,54,"ME",1982
"Northern Cardinal","norcar",84,118,0.1078,17,67,"ME",1983
"Northern Cardinal","norcar",85,113,0.1262,14,55,"ME",1984
"Northern Cardinal","norcar",86,235,0.2292,18,67,"ME",1985
"Northern Cardinal","norcar",87,135,0.1236,16,61,"ME",1986
"Northern Cardinal","norcar",88,233,0.2411,16,59,"ME",1987
"Northern Cardinal","norcar",89,177,0.1533,17,55,"ME",1988
"Northern Cardinal","norcar",90,227,0.2197,18,41,"ME",1989
"Northern Cardinal","norcar",91,247,0.2206,19,50,"ME",1990
"Northern Cardinal","norcar",92,251,0.224,17,35,"ME",1991
"Northern Cardinal","norcar",93,227,0.2135,15,37,"ME",1992
"Northern Cardinal","norcar",94,328,0.2896,22,42,"ME",1993
"Northern Cardinal","norcar",95,367,0.316,24,41,"ME",1994
"Northern Cardinal","norcar",96,359,0.3021,20,29,"ME",1995
"Northern Cardinal","norcar",97,365,0.2887,21,32,"ME",1996
"Northern Cardinal","norcar",98,358,0.2906,17,43,"ME",1997
"Northern Cardinal","norcar",99,431,0.3942,19,37,"ME",1998
"Northern Cardinal","norcar",100,425,0.3309,19,39,"ME",1999
"Northern Cardinal","norcar",101,520,0.4673,19,33,"ME",2000
