Date,Time,Site,Tracker_ID,NOCA_ID,Band,Colour_L,Colour_R,Sex,GPS_ID,Lat,Lon,Signal,Gain,Angle,Direction,Receiver,Temperature,Wind,Cloud,Precipitations,Snow_depth,Snow_hardness,Snow_water
11-13-2024,13:08,1,AMC,636,2991-46016,White/White,Metal/Yellow,F,11-13-24 NOCA636,45.43056,-73.93851,NA,NA,NA,NA,NEW,5,10,0,0,0,0,0
11-15-2024,10:33,2,AM,641,2991-46022,Yellow/Black,Metal/Green,M,NA,45.42927,-73.93912,NA,NA,NA,NA,NEW,4,9,10,0,0,0,0
11-15-2024,10:33,2,AM,645,2651-73169,Yellow/Green,Metal/Green,M,NA,45.42927,-73.93912,NA,NA,NA,NA,NEW,4,9,10,0,0,0,0
11-15-2024,12:15,1,LF,636,2991-46016,White/White,Metal/Yellow,F,11-15-24 NOCA636,45.42965,-73.94071,226,20,260,straight,NEW,6,9,20,0,0,0,0
11-23-2024,8:30,2,LF,641,2991-46022,Yellow/Black,Metal/Green,M,11-23-24 NOCA641,45.43098,-73.93835,207,20,15,UP,NEW,5,9,100,0,0,0,0
11-23-2024,8:45,2,LF,645,2651-73169,Yellow/Green,Metal/Green,M,11-23-24 NOCA645,45.43069,-73.93880,202,30,274,straight,NEW,5,9,100,0,0,0,0
11-23-2024,9:00,1,LF,636,2991-46016,White/White,Metal/Yellow,F,11-23-24 NOCA636,45.42960,-73.94056,250,10,250,down,NEW,5,7,100,0,0,0,0
11-26-2024,10:04,2,AMC,641,2991-46022,Yellow/Black,Metal/Green,M,11-29-24 NOCA641-627,45.42950,-73.93832,230,20,NA,NA,NEW,1,14,90,0,0,0,0
12-01-2024,11:20,2,LF,645,2651-73169,Yellow/Green,Metal/Green,M,12-01-24 NOCA645,45.43132,-73.93851,250,20,50,straight,NEW,-1,19,60,0,0,0,0
12-06-2024,14:25,2,ET,645,2651-73169,Yellow/Green,Metal/Green,M,12-06-24 NOCA645,45.43098,-73.93837,235,30,1,straight,NEW,-6,24,20,0,0,0,0
12-08-2024,13:05,2,LF,645,2651-73169,Yellow/Green,Metal/Green,M,12-08-24 NOCA645,45.43206,-73.83896,232,20,162,straight,NEW,3,13,80,0,14,3,4
12-13-2024,10:20,2,LF,645,2651-73169,Yellow/Green,Metal/Green,M,12-13-24 NOCA645,45.43003,-73.93849,222,20,205,straight,NEW,-6,18,10,0,9,1,1
12-13-2024,10:30,2,LF,641,2991-46022,Yellow/Black,Metal/Green,M,12-13-24 NOCA641,45.42905,-73.93810,220,20,230,UP,NEW,-6,20,5,0,9,1,1
12-18-2024,8:59,2,AMC,636b,2991-46024,Yellow/White,Metal/Green,M,NA,45.42928,-73.93911,NA,NA,NA,NA,NEW,1,12,100,0,NA,NA,NA
12-18-2024,9:06,1,AMC,625b,2991-46026,Green/Green,Metal/Green,M,NA,45.43057,-73.93851,NA,NA,NA,NA,NEW,1,12,100,0,NA,NA,NA
12-22-2024,8:40,2,LF,641,2991-46022,Yellow/Black,Metal/Green,M,12-22-24 NOCA641,45.42997,-73.93848,222,20,218,straight,NEW,-16,20,5,0,10,3,2
12-22-2024,8:45,1,LF,625b,2991-46026,Green/Green,Metal/Green,M,12-22-24 NOCA625,45.42998,-73.93848,233,20,218,straight,NEW,-16,20,5,0,10,3,2
12-22-2024,9:00,2,LF,645,2651-73169,Yellow/Green,Metal/Green,M,12-22-24 NOCA645,45.43048,-73.93918,217,20,214,straight,NEW,-16,20,0,0,10,3,2
01-02-2025,9:50,2,LF,645,2651-73169,Yellow/Green,Metal/Green,M,01-02-25 NOCA645,45.42904,-73.93800,211,30,127,UP,NEW,-1,28,100,0,5,3,1
01-02-2025,10:20,1,LF,625b,2991-46026,Green/Green,Metal/Green,M,01-02-25 NOCA625b,45.43024,-73.93998,223,20,110,straight,NEW,-1,36,100,0,5,3,1
01-02-2025,10:40,2,LF,641,2991-46022,Yellow/Black,Metal/Green,M,01-02-25 NOCA641,45.43029,-73.93999,199,30,4,UP,NEW,-1,30,100,0,5,3,1
01-07-2025,9:15,1,LF,625b,2991-46026,Green/Green,Metal/Green,M,01-07-25 NOCA625b,45.42982,-73.93848,209,30,195,straight,NEW,-9,22,100,0,7,1,1
01-07-2025,9:30,2,LF,645,2651-73169,Yellow/Green,Metal/Green,M,01-07-25 NOCA645,45.43024,-73.93782,249,20,200,straight,NEW,-8,22,100,0,7,1,1
01-07-2025,9:40,2,LF,641,2991-46022,Yellow/Black,Metal/Green,M,01-07-25 NOCA641,45.42848,-73.93703,219,20,236,UP,NEW,-8,22,100,0,7,1,1
01-14-2025,10:30,2,LF,636b,2991-46024,Yellow/White,Metal/Green,M,01-14-25 NOCA636b,45.43579,-73.94461,211,30,127,UP,NEW,-5,20,90,0,17,1,1
01-14-2025,10:30,2,LF,641,2991-46022,Yellow/Black,Metal/Green,M,01-14-25 NOCA641,45.43579,-73.94461,200,30,127,UP,NEW,-5,20,90,0,17,1,1
01-14-2025,11:40,2,LF,645,2651-73169,Yellow/Green,Metal/Green,M,01-14-25 NOCA6345,45.42871,-73.93086,216,20,86,UP,NEW,-4,24,100,0,17,1,1
02-08-2025,8:30,2,LF,645,2651-73169,Yellow/Green,Metal/Green,M,02-08-25 NOCA645,45.43122,-73.93854,210,30,146,UP,NEW,-11,9,0,0,27,1,2
02-11-2025,9:40,1,LF,625b,2991-46026,Green/Green,Metal/Green,M,02-11-25 NOCA625b,45.42170,-73.93443,145,50,270,UP,NEW,-7,19,100,0,25,1,1
02-11-2025,10:45,2,LF,636b,2991-46024,Yellow/White,Metal/Green,M,02-11-25 NOCA636b,45.42392,-73.94180,234,20,133,straight,NEW,-6,20,100,0,25,1,1
02-11-2025,12:30,2,LF,645,2651-73169,Yellow/Green,Metal/Green,M,02-11-25 NOCA645,45.43015,-73.93780,208,30,220,straight,NEW,-5,24,40,0,25,1,1
02-22-2025,8:35,1,LF,625b,2991-46026,Green/Green,Metal/Green,M,02-22-25 NOCA625b,45.42359,-73.93607,212,30,96,straight,NEW,-14,11,0,0,46,1,1
02-22-2025,10:00,2,LF,645,2651-73169,Yellow/Green,Metal/Green,M,02-22-25 NOCA645,45.43009,-73.93855,207,30,222,straight,NEW,-11,9,0,0,46,1,1
02-25-25,9:45,1,LF,625b,2991-46026,Green/Green,Metal/Green,M,02-25-25 NOCA625b,45.42357,-73.93665,160,50,151,straight,NEW,4,7,100,0,36,1,4
03-06-2025,8:55,1,LF,625b,2991-46026,Green/Green,Metal/Green,M,03-06-25 NOCA625b,45.42168,-73.93428,148,50,261,UP,NEW,3,22,100,0,29,2,5
03-06-2025,11:00,2,LF,645,2651-73169,Yellow/Green,Metal/Green,M,03-06-25 NOCA645,45.43040,-73.93922,220,20,238,straight,NEW,4,17,100,0,29,2,5
03-13-2025,9:00,1,LF,625b,2991-46026,Green/Green,Metal/Green,M,03-13-25 NOCA625b,45.42361,-73.93592,211,30,98,straight,NEW,-9,9,30,0,24,4,2
