"","Date","ID","Site","randLat","randLon","Winter","Mean_Veg_Height_25_m","Mean_Veg_Height_50_m","Mean_Veg_Height_100_m","Mean_Veg_Height_200_m","Sd_Veg_Height_25_m","Sd_Veg_Height_50_m","Sd_Veg_Height_100_m","Sd_Veg_Height_200_m","mean_Pop_Dens_25_m","mean_Pop_Dens_50_m","mean_Pop_Dens_100_m","mean_Pop_Dens_200_m","mean_Single_House_25_m","mean_Single_House_50_m","mean_Single_House_100_m","mean_Single_House_200_m","mean_Semi_Detached_House_25_m","mean_Semi_Detached_House_50_m","mean_Semi_Detached_House_100_m","mean_Semi_Detached_House_200_m","mean_Row_House_25_m","mean_Row_House_50_m","mean_Row_House_100_m","mean_Row_House_200_m","mean_App_Duplex_25_m","mean_App_Duplex_50_m","mean_App_Duplex_100_m","mean_App_Duplex_200_m","mean_App_Less_5_Storeys_25_m","mean_App_Less_5_Storeys_50_m","mean_App_Less_5_Storeys_100_m","mean_App_Less_5_Storeys_200_m","mean_App_Over_5_Storeys_25_m","mean_App_Over_5_Storeys_50_m","mean_App_Over_5_Storeys_100_m","mean_App_Over_5_Storeys_200_m","sd_Pop_Dens_25_m","sd_Pop_Dens_50_m","sd_Pop_Dens_100_m","sd_Pop_Dens_200_m","sd_Single_House_25_m","sd_Single_House_50_m","sd_Single_House_100_m","sd_Single_House_200_m","sd_Semi_Detached_House_25_m","sd_Semi_Detached_House_50_m","sd_Semi_Detached_House_100_m","sd_Semi_Detached_House_200_m","sd_Row_House_25_m","sd_Row_House_50_m","sd_Row_House_100_m","sd_Row_House_200_m","sd_App_Duplex_25_m","sd_App_Duplex_50_m","sd_App_Duplex_100_m","sd_App_Duplex_200_m","sd_App_Less_5_Storeys_25_m","sd_App_Less_5_Storeys_50_m","sd_App_Less_5_Storeys_100_m","sd_App_Less_5_Storeys_200_m","sd_App_Over_5_Storeys_25_m","sd_App_Over_5_Storeys_50_m","sd_App_Over_5_Storeys_100_m","sd_App_Over_5_Storeys_200_m","Road_Length_25_m","Road_Length_50_m","Road_Length_100_m","Road_Length_200_m","Dist_to_Nearest_Feeder_m"
"1","2024-10-24","608",4,45.4110967687627,-73.9309867554877,3,9.51887969232628,8.21239580211942,6.56749675486122,6.23585131321776,6.051788003697,6.80451821192992,6.82216070702993,7.01821154397833,201.7,201.7,201.7,326.490384615385,155,155,155,181.442307692308,0,0,0,2.30769230769231,40,40,40,31.7307692307692,0,0,0,0,40,40,40,30.5769230769231,0,0,0,0,0,0,0,348.975301817021,0,0,0,63.8651807498984,0,0,0,6.45205078064472,0,0,0,14.9471164306953,0,0,0,0,0,0,0,16.5284616721844,0,0,0,0,0,295.144958341083,752.656873246931,4204.64920123224,72.8733920769868
"2","2024-10-26","608",4,45.4106419429115,-73.9335868490029,3,1.9846611839135,1.93860520149009,3.03075301295438,3.81108370918586,1.32249688326498,2.79604813299339,5.42480826749937,6.30791841683709,118.3,118.3,118.3,141.194117647059,355,355,355,300.098039215686,20,20,20,14.5098039215686,15,15,15,21.8627450980392,0,0,0,0,5,5,5,14.6078431372549,0,0,0,0,0,0,0,37.5890059020704,0,0,0,90.1415009641976,0,0,0,9.01415009641976,0,0,0,11.2676876205247,0,0,0,0,0,0,0,15.7747626687346,0,0,0,0,0,0,505.460809810946,2291.74719974921,224.980298764076
"3","2024-11-03","608",4,45.408394327895,-73.9329936157895,3,11.4225392961673,9.14543477205264,5.87678976918984,6.08786479890566,8.21376181274561,7.33065633926605,6.43838311916317,6.68965597278876,201.7,201.7,173.9,242.401960784314,155,155,221.666666666667,247.156862745098,0,0,6.66666666666667,9.01960784313725,40,40,31.6666666666667,25.5882352941176,0,0,0,0,40,40,28.3333333333333,21.078431372549,0,0,0,0,0,0,41.0633213907054,285.078857504513,0,0,98.4731927834662,98.9305559569984,0,0,9.84731927834662,10.0508511004361,0,0,12.3091490979333,14.2704960959151,0,0,0,0,0,0,17.2328087371066,18.0641558200265,0,0,0,0,271.927634215446,671.177483170955,1890.09675168386,4880.7659465939,29.0285766721992
"4","2024-11-29","608",4,45.4069817108647,-73.9336004301115,3,10.8606270211865,9.74527973253701,7.52269905846044,6.91115657918264,6.91951687420601,7.2793833242736,7.1040439636475,7.20881088988307,118.3,118.3,141.045454545455,152.641176470588,355,355,300.454545454545,272.647058823529,20,20,14.5454545454545,11.7647058823529,15,15,21.8181818181818,25.2941176470588,0,0,0,0,5,5,14.5454545454545,19.4117647058824,0,0,0,0,0,0,38.9560871658426,41.4539801537589,0,0,93.4198732993827,99.4100243495416,0,0,9.34198732993828,9.94100243495417,0,0,11.6774841624228,12.4262530436927,0,0,0,0,0,0,16.348477827392,17.3967542611698,0,0,0,0,184.604510626853,552.077709945813,1672.47799769167,4486.28663784809,65.9557072683833
"5","2024-12-06","608",4,45.4104498512179,-73.9294457527046,3,9.15437570106482,9.71255454463535,8.41230345548162,8.12242822822857,6.88176690373837,6.7638658559825,7.13447812220615,7.39890460872497,201.7,201.7,700.95,749.896078431373,155,155,167.5,168.725490196078,0,0,0,0,40,40,20,18.0392156862745,0,0,0,0,40,40,20,18.0392156862745,0,0,0,0,0,0,521.449618415293,501.788741189272,0,0,13.0558241966773,12.5635638755451,0,0,0,0,0,0,20.8893187146837,20.1017022008722,0,0,0,0,0,0,20.8893187146837,20.1017022008722,0,0,0,0,134.85582191988,373.810776949426,1603.94360363617,5111.36902363035,20.6340277543034
"6","2024-12-18","608",4,45.4096653324797,-73.93307005754,3,10.1463083259443,7.55525915379954,5.97788931095325,5.0997594555375,7.43099416372085,7.64345332210181,7.35267580801445,6.84313050793292,118.3,146.1,160,175.490196078431,355,288.333333333333,255,265.294117647059,20,13.3333333333333,10,10.9803921568627,15,23.3333333333333,27.5,25.4901960784314,0,0,0,0,5,16.6666666666667,22.5,20,0,0,0,0,0,48.1510124504148,43.5542295201156,152.100183109557,0,115.470053837925,104.446593573419,100.022056391107,0,11.5470053837925,10.4446593573419,10.0508511004361,0,14.4337567297406,13.0558241966773,12.9327066757421,0,0,0,0,0,20.2072594216369,18.2781538753483,17.606816861659,0,0,0,0,266.181622306702,583.911930276887,1543.89040818589,3625.32387864572,112.808355281749
"7","2025-01-02","608",4,45.4110206868458,-73.9280711531912,3,8.90391310477739,8.21789748389661,8.26181755779852,8.06141588387803,6.37688075351546,7.127526127602,7.01382181763015,7.33579286331406,1200.2,1200.2,1200.2,984.837254901961,180,180,180,174.607843137255,0,0,0,0,0,0,0,8.62745098039216,0,0,0,0,0,0,0,8.62745098039216,0,0,0,0,0,0,0,414.767116324708,0,0,0,10.3847550406787,0,0,0,0,0,0,0,16.6156080650859,0,0,0,0,0,0,0,16.6156080650859,0,0,0,0,0,322.944597455058,1217.77592625511,5591.38003839295,65.5239497376515
"8","2025-01-05","608",4,45.4114163234788,-73.9278520242798,3,9.4676144684491,8.92303906113615,8.25956913743038,8.31599518397249,8.74514821762272,7.3401378037897,7.42443382381535,7.3294254672859,1200.2,1200.2,1200.2,988.978846153846,180,180,180,174.711538461538,0,0,0,0,0,0,0,8.46153846153846,0,0,0,0,0,0,0,8.46153846153846,0,0,0,0,0,0,0,411.765143577391,0,0,0,10.3095929789031,0,0,0,0,0,0,0,16.495348766245,0,0,0,0,0,0,0,16.495348766245,0,0,0,0,133.861611164981,371.956008406913,1039.41905060683,5123.65764423283,103.923955594576
"9","2025-01-12","608",4,45.4108010408648,-73.9287334622091,3,9.03267154450939,8.62457905726246,8.75416073800348,7.87247325528845,5.32760130494595,6.27545542591956,6.9630789280592,7.20408081689643,1200.2,1200.2,867.366666666667,861.08679245283,180,180,171.666666666667,171.509433962264,0,0,0,0,0,0,13.3333333333333,13.5849056603774,0,0,0,0,0,0,13.3333333333333,13.5849056603774,0,0,0,0,0,0,491.627414971455,477.395957669448,0,0,12.3091490979333,11.9528281840122,0,0,0,0,0,0,19.6946385566932,19.1245250944195,0,0,0,0,0,0,19.6946385566932,19.1245250944195,0,0,0,0,0,297.03824579197,1337.83460445903,5286.77750180071,40.4466568172682
"10","2025-01-19","608",4,45.4085785755588,-73.9314409215728,3,10.2930860470999,9.23615022626786,8.66723091126472,7.91548936065966,8.30165068315494,7.65001396012702,7.42982133577315,7.5301687048627,201.7,451.325,534.533333333333,544.3,155,161.25,163.333333333333,187.352941176471,0,0,0,2.35294117647059,40,30,26.6666666666667,22.9411764705882,0,0,0,0,40,30,26.6666666666667,21.7647058823529,0,0,0,0,0,499.25,491.627414971455,489.931854445085,0,12.5,12.3091490979333,62.907495111286,0,0,0,6.50791373455969,0,20,19.6946385566932,18.8195767908908,0,0,0,0,0,20,19.6946385566932,19.5914146863305,0,0,0,0,0,254.30133873116,1311.30072673983,6109.27952787834,72.1962161753068
