"ID","Sex","Site","First_Seen","Last_Seen","Days_Tracked","N_Detections"
"608","F",4,2024-10-24,2025-02-09,108,13
"610","F",6,2024-10-16,2025-05-27,223,48
"614","F",4,2024-10-22,2025-03-16,145,25
"616","F",5,2024-11-01,2025-01-04,64,11
"617","F",3,2024-10-26,2025-04-19,175,32
"618b","F",6,2024-11-04,2025-01-18,75,6
"619","F",6,2024-11-08,2025-01-27,80,12
"620","F",4,2024-11-03,2025-04-06,154,31
"623","F",4,2024-11-03,2025-05-14,192,14
"625b","M",1,2024-12-22,2025-04-17,116,11
"626","F",5,2024-11-04,2025-02-15,103,23
"627","M",4,2024-11-08,2025-05-27,200,26
"630","M",4,2024-11-08,2025-03-11,123,22
"631","F",4,2024-11-17,2025-04-24,158,30
"633","M",6,2024-11-15,2024-12-31,46,10
"634","F",5,2024-11-17,2025-03-12,115,27
"635","M",3,2024-11-17,2025-03-09,112,18
"637","M",3,2024-11-17,2025-04-24,158,18
"641","M",2,2024-11-23,2025-01-14,52,7
"641","M",4,2025-05-08,2025-05-14,6,2
"645","M",2,2024-11-23,2025-04-22,150,21
