"ID","First_Date","Last_Date","N_Detections","Sex","Site","Study_End","Days_Tracked","Days_Since_Last","Fate"
"608",2024-10-24,2025-02-09,13,"F",4,2025-05-27,108,107,0
"610",2024-10-16,2025-05-27,48,"F",6,2025-05-27,223,0,1
"614",2024-10-22,2025-03-16,25,"F",4,2025-05-27,145,72,0
"616",2024-11-01,2025-01-04,11,"F",5,2025-05-27,64,143,0
"617",2024-10-26,2025-04-19,32,"F",3,2025-05-27,175,38,0
"618b",2024-11-04,2025-01-18,6,"F",6,2025-05-27,75,129,0
"619",2024-11-08,2025-01-27,12,"F",6,2025-05-27,80,120,0
"620",2024-11-03,2025-04-06,31,"F",4,2025-05-27,154,51,0
"623",2024-11-03,2025-05-14,14,"F",4,2025-05-27,192,13,1
"625b",2024-12-22,2025-04-17,11,"M",1,2025-05-27,116,40,0
"626",2024-11-04,2025-02-15,23,"F",5,2025-05-27,103,101,0
"627",2024-11-08,2025-05-27,26,"M",4,2025-05-27,200,0,1
"630",2024-11-08,2025-03-11,22,"M",4,2025-05-27,123,77,0
"631",2024-11-17,2025-04-24,30,"F",4,2025-05-27,158,33,0
"633",2024-11-15,2024-12-31,10,"M",6,2025-05-27,46,147,0
"634",2024-11-17,2025-03-12,27,"F",5,2025-05-27,115,76,0
"635",2024-11-17,2025-03-09,18,"M",3,2025-05-27,112,79,0
"637",2024-11-17,2025-04-24,18,"M",3,2025-05-27,158,33,0
"641",2024-11-23,2025-05-14,9,"M",2,2025-05-27,172,13,1
"645",2024-11-23,2025-04-22,21,"M",2,2025-05-27,150,35,0
