Date,Time,Site,Tracker_ID,ID,Band,Colour_L,Colour_R,Sex,GPS_ID,Lat,Lon,Signal,Gain,Angle,Direction,Receiver,Temperature,Wind,Cloud,Precipitations,Snow_depth,Snow_hardness,Snow_water,Comments
12/10/2023,12:17,1,AMC,118,2991-40399,Blue/Red,Metal/Red,Female,10-12-2023 NOCA 118 RELEASE,45.43061,-73.93864,NA,NA,NA,NA,NA,10,14,60,0,0,NA,NA,RELEASE DAY
13/10/2023,8:32,1,MJL,118,2991-40399,Blue/Red,Metal/Red,Female,10-13-2023 NOCA 118,45.42955,-73.93736,230,19,104,NA,NEW,11,16,10,0,0,NA,NA,Found in the bushes near the driveway to the MBO.
16/10/2023,10:27,1,AMC,118,2991-40399,Blue/Red,Metal/Red,Female,10-16-2023 NOCA 118,45.42847,-73.9353,114,49,270,STRAIGHT,OLD,12,10,70,0,0,NA,NA,The bird was probably in the Eco Museum as the signal came from that direction.
18/10/2023,8:57,1,MJL,118,2991-40399,Blue/Red,Metal/Red,Female,10-18-23 NOCA 118,45.42966,-73.93481,234,19,315,UP,NEW,10,5,30,0,0,NA,NA,Found in the trees that separates the 2 fields near MBO (not in Ecomuseum anymore)
19/10/2023,9:52,1,AMC,123,2991-40336,Blue/Blue,Metal/Blue,Male,10-19-2023 NOCA 123 RELEASE,45.43061,-73.93864,NA,NA,NA,NA,NA,12,7,50,0,0,NA,NA,RELEASE DAY
19/10/2023,10:03,1,AMC,125,2991-40509,Blue/Yellow,Blue/Metal,Male,10-19-2023 NOCA 125 RELEASE,45.43057,-73.93852,NA,NA,NA,NA,NA,13,7,40,0,0,NA,NA,RELEASE DAY
20/10/2023,11:19,1,MJL,123,2991-40336,Blue/Blue,Metal/Blue,Male,10-20-23 NOCA 123,45.4308,-73.93901,219,29,310,NA,NEW,16,6,40,0,0,NA,NA,Located in the fields near the pond.
20/10/2023,9:15,1,MJL,125,2991-40509,Blue/Yellow,Blue/Metal,Male,10-20-23 NOCA 125,45.42907,-73.93983,245,19,305,NA,NEW,13,3,90,0,0,NA,NA,"Located in the pines near the ""E"" nets."
23/10/2023,7:20,1,NG,123,2991-40336,Blue/Blue,Metal/Blue,Male,10-23-23 NOCA 123,45.43112,-73.93871,206,30,138,NA,NEW,6,9,100,0.5,0,NA,NA,"Located close to the ""B"" and ""N"" nets."
23/10/2023,7:27,1,NG,125,2991-40509,Blue/Yellow,Blue/Metal,Male,10-23-23 NOCA 125,45.43121,-73.9388,200,30,138,NA,NEW,6,9,100,0.5,0,NA,NA,"Located close to the ""B"" and ""N"" nets."
