"Date","Time","Site","Tracker_ID","ID","Band","Colour_L","Colour_R","Sex","GPS_ID","Lat","Lon","Signal","Gain","Angle","Direction","Receiver","Temperature","Wind","Cloud","Precipitations","Snow_depth","Snow_hardness","Snow_water","Comments","Distance_new","new_lon","new_lat"
2023-10-13,"8:32",1,"MJL","118","2991-40399","Blue/Red","Metal/Red","Female","10-13-2023 NOCA 118",45.42955,-73.93736,230,19,104,NA,"NEW",11,16,10,"0",0,NA,NA,"Found in the bushes near the driveway to the MBO.",15,-73.9371740139408,45.4295173489324
2023-10-18,"8:57",1,"MJL","118","2991-40399","Blue/Red","Metal/Red","Female","10-18-23 NOCA 118",45.42966,-73.93481,234,19,315,"UP","NEW",10,5,30,"0",0,NA,NA,"Found in the trees that separates the 2 fields near MBO (not in Ecomuseum anymore)",15,-73.9349455386332,45.4297554343717
2023-10-20,"11:19",1,"MJL","123","2991-40336","Blue/Blue","Metal/Blue","Male","10-20-23 NOCA 123",45.4308,-73.93901,219,29,310,NA,"NEW",16,6,40,"0",0,NA,NA,"Located in the fields near the pond.",25,-73.9392547315359,45.4309445890993
2023-10-20,"9:15",1,"MJL","125","2991-40509","Blue/Yellow","Blue/Metal","Male","10-20-23 NOCA 125",45.42907,-73.93983,245,19,305,NA,"NEW",13,3,90,"0",0,NA,NA,"Located in the pines near the ""E"" nets.",15,-73.9399870138477,45.4291474124699
2023-10-23,"7:20",1,"NG","123","2991-40336","Blue/Blue","Metal/Blue","Male","10-23-23 NOCA 123",45.43112,-73.93871,206,30,138,NA,"NEW",6,9,100,"0.5",0,NA,NA,"Located close to the ""B"" and ""N"" nets.",25,-73.9384962299161,45.4309528359793
2023-10-23,"7:27",1,"NG","125","2991-40509","Blue/Yellow","Blue/Metal","Male","10-23-23 NOCA 125",45.43121,-73.9388,200,30,138,NA,"NEW",6,9,100,"0.5",0,NA,NA,"Located close to the ""B"" and ""N"" nets.",25,-73.9385862295764,45.4310428359819
2023-10-25,"10:45",1,"AMC","118","2991-40399","Blue/Red","Metal/Red","Female","10-25-2023 NOCA 118",45.43081,-73.9356,160,20,290,"STRAIGHT","OLD",16,7,90,"0",0,NA,NA,"Located in the tree row between the fields.",15,-73.9357801243215,45.4308561604937
2023-10-25,"9:41",1,"NG","123","2991-40336","Blue/Blue","Metal/Blue","Male","10-25-23 NOCA 123",45.42988,-73.93851,213,40,202,NA,"NEW",15,7,50,"0",0,NA,NA,"Located in the fields near the ""E"" nets.",35,-73.9386775440534,45.4295880133408
2023-10-25,"8:08",1,"NG","125","2991-40509","Blue/Yellow","Blue/Metal","Male","10-25-23 NOCA 125",45.43115,-73.93881,203,30,299,NA,"NEW",15,7,100,"0",0,NA,NA,"Located close to the cabin.",25,-73.9390894200974,45.4312590532683
2023-10-28,"13:51",1,"AMC","118","2991-40399","Blue/Red","Metal/Red","Female","10-28-2023 NOCA 118",45.4301,-73.93533,150,30,75,"STRAIGHT","OLD",14,16,20,"0",0,NA,NA,"Located in the hedge row between corn field and soy field, at the exact same location as NOCA 125.",25,-73.9350214157782,45.4301582186353
