"","Date","Site","ID","Lat","Lon","Winter","Mean_Veg_Height_25_m","Mean_Veg_Height_50_m","Mean_Veg_Height_100_m","Mean_Veg_Height_200_m","Sd_Veg_Height_25_m","Sd_Veg_Height_50_m","Sd_Veg_Height_100_m","Sd_Veg_Height_200_m","mean_Pop_Dens_25_m","mean_Pop_Dens_50_m","mean_Pop_Dens_100_m","mean_Pop_Dens_200_m","mean_Single_House_25_m","mean_Single_House_50_m","mean_Single_House_100_m","mean_Single_House_200_m","mean_Semi_Detached_House_25_m","mean_Semi_Detached_House_50_m","mean_Semi_Detached_House_100_m","mean_Semi_Detached_House_200_m","mean_Row_House_25_m","mean_Row_House_50_m","mean_Row_House_100_m","mean_Row_House_200_m","mean_App_Duplex_25_m","mean_App_Duplex_50_m","mean_App_Duplex_100_m","mean_App_Duplex_200_m","mean_App_Less_5_Storeys_25_m","mean_App_Less_5_Storeys_50_m","mean_App_Less_5_Storeys_100_m","mean_App_Less_5_Storeys_200_m","mean_App_Over_5_Storeys_25_m","mean_App_Over_5_Storeys_50_m","mean_App_Over_5_Storeys_100_m","mean_App_Over_5_Storeys_200_m","sd_Pop_Dens_25_m","sd_Pop_Dens_50_m","sd_Pop_Dens_100_m","sd_Pop_Dens_200_m","sd_Single_House_25_m","sd_Single_House_50_m","sd_Single_House_100_m","sd_Single_House_200_m","sd_Semi_Detached_House_25_m","sd_Semi_Detached_House_50_m","sd_Semi_Detached_House_100_m","sd_Semi_Detached_House_200_m","sd_Row_House_25_m","sd_Row_House_50_m","sd_Row_House_100_m","sd_Row_House_200_m","sd_App_Duplex_25_m","sd_App_Duplex_50_m","sd_App_Duplex_100_m","sd_App_Duplex_200_m","sd_App_Less_5_Storeys_25_m","sd_App_Less_5_Storeys_50_m","sd_App_Less_5_Storeys_100_m","sd_App_Less_5_Storeys_200_m","sd_App_Over_5_Storeys_25_m","sd_App_Over_5_Storeys_50_m","sd_App_Over_5_Storeys_100_m","sd_App_Over_5_Storeys_200_m","Road_Length_25_m","Road_Length_50_m","Road_Length_100_m","Road_Length_200_m","Dist_to_Nearest_Feeder_m"
"1","2023-10-13",1,"118",45.42955,-73.93736,2,7.94281535667604,5.12855933440123,3.35097638492859,3.07880682832288,6.95827291541005,6.14088553609375,5.11038177741303,4.74964477051658,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.709502363102
"2","2023-10-18",1,"118",45.42966,-73.93481,2,4.62104052432297,2.76238571060147,1.46366933466043,1.31203131560632,5.13371824742102,4.56208258983567,3.60390825470717,3.53016528856952,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.657111600394
"3","2023-10-20",1,"123",45.4308,-73.93901,2,2.5950838006483,3.44448225856166,3.914281443271,5.79700717563701,2.75450976375613,5.15465085518994,5.99108026101388,7.76468865423982,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.1463512195714
"4","2023-10-20",1,"125",45.42907,-73.93983,2,3.3237308012236,5.06987768472346,7.07230644601198,8.09520034569509,2.39467761468286,5.4047724927651,6.74484832405691,7.70191240578903,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.974350091038
"5","2023-10-23",1,"123",45.43112,-73.93871,2,10.4694560930981,5.87140021418262,3.7977860050392,5.10980969068344,7.50453590886158,6.72966714929197,6.3229773729377,7.61276130860577,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.011594180788
"6","2023-10-23",1,"125",45.43121,-73.9388,2,11.8894969384158,6.9306540113528,4.34598055076512,5.52460675155141,8.15836239711318,7.67800829900492,6.83336747256889,8.00448118069006,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.460979582219
"7","2023-10-25",1,"118",45.43081,-73.9356,2,3.99651022827026,2.39786807547339,1.31273513231167,0.878058965874424,4.36912494373418,4.0665572519634,3.20203549290704,2.80301305038072,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.306941588934
"8","2023-10-25",1,"123",45.42988,-73.93851,2,1.16807847407007,2.77817333740031,3.21526014275466,4.02698500908764,1.84220572808696,3.7597539407811,4.39615676329194,5.59018270575988,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0236903752586
"9","2023-10-25",1,"125",45.43115,-73.93881,2,10.5751070133634,6.45057127647817,4.22189241067723,5.4551477981247,8.50328773444289,7.24068818101325,6.69193198818189,7.91811307434535,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.273351272917
"10","2023-10-28",1,"118",45.4301,-73.93533,2,5.21315003800334,2.87547725863952,1.34006809147799,1.42284828985049,4.78352517137758,4.29044891547791,3.23002880539173,3.6965002188264,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.278379106669
"11","2023-10-28",1,"125",45.4301,-73.93533,2,5.21315003800334,2.87547725863952,1.34006809147799,1.42284828985049,4.78352517137758,4.29044891547791,3.23002880539173,3.6965002188264,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.278379106669
"12","2023-10-28",1,"123",45.42906,-73.93797,2,1.4430663147751,4.72675104962291,4.57771726180004,5.00401825319064,2.89986542660943,4.99054949710879,5.04957329283608,6.17987350832298,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.156490827856
"13","2023-10-29",1,"118",45.43143,-73.93593,2,4.1899693677479,2.66531153504249,1.24617884567272,0.814832678664204,4.76242072426026,4.66016395887225,3.23933798212522,2.70413498521503,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.223332700603
"14","2023-11-02",1,"118",45.43007,-73.9353,2,5.5094065869314,2.83754158286985,1.36675361369164,1.42816915006091,4.90906726699361,4.24897261076268,3.2721868316271,3.70358689636102,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.601834137627
"15","2023-11-08",1,"104",45.43043,-73.93925,2,1.53739295034933,2.06652098334732,3.4320572860191,6.53116998627663,2.34108093696342,2.65126018097094,4.42319655797851,7.86085218202218,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.9750151392644
"16","2023-11-08",1,"97",45.4312,-73.93884,2,11.3329289339661,7.06896848559578,4.482579922742,5.6368417163933,8.56292486529595,7.73808162447745,6.92456602593253,8.08827941158368,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.27024703304
"17","2023-11-08",1,"118",45.42997,-73.93526,2,5.50579550257781,2.70326236796262,1.4041660228594,1.50495328812657,5.24960089863334,4.20751115994524,3.3534719476954,3.78851680813741,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.986450373017
"18","2023-11-13",1,"97",45.43092,-73.93904,2,3.14127902113242,4.37819178569474,4.38540897329917,6.05268659289443,3.91484782948634,6.09745513940597,6.50568672122677,8.09581674284166,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.777107299659
"19","2023-11-13",1,"120b",45.43092,-73.93904,2,3.14127902113242,4.37819178569474,4.38540897329917,6.05268659289443,3.91484782948634,6.09745513940597,6.50568672122677,8.09581674284166,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.777107299659
"20","2023-11-13",1,"123",45.4308,-73.93909,2,2.30957702465709,3.31892047200341,4.18842556846186,6.17269668602457,2.44745703197826,4.89539932059101,6.17775061068774,8.03575316245322,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.6471067646432
"21","2023-11-29",1,"97",45.43123,-73.93886,2,11.4430715703746,7.4002467800752,4.66193889568992,5.75559874176325,8.59022890889676,7.95774011019011,7.05732738399662,8.19669861315551,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.916013402026
"22","2023-11-29",1,"116",45.43161,-73.93925,2,15.4128795083267,10.4322607311148,7.53336901041444,7.71001446219192,10.537694310739,9.16133263854476,8.12759180412995,9.60748161843008,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.021339097693
"23","2023-11-29",1,"123",45.43219,-73.93909,2,6.84119764088852,5.67810808032421,6.90215984883672,7.58840980186568,4.81753494122368,5.31079891674412,8.7254524572262,9.59141032637201,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.55233882845
"24","2023-12-08",1,"120b",45.42845,-73.93687,2,3.0370131890222,4.93350838971645,7.30870600637277,5.02142992397759,3.42213973699473,4.97915326581126,6.56859622241888,6.37399000679372,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.232936473963
"25","2023-12-08",1,"97",45.4317,-73.93948,2,15.5332855798073,10.9584686485154,9.413700204511,8.87653492223714,10.4127310415807,9.47640903079843,8.5886093761657,10.0826822101684,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.524322093802
"26","2023-12-08",1,"123",45.4317,-73.93948,2,15.5332855798073,10.9584686485154,9.413700204511,8.87653492223714,10.4127310415807,9.47640903079843,8.5886093761657,10.0826822101684,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.524322093802
"27","2023-12-08",1,"104",45.43006,-73.93851,2,1.14437658101245,2.3879785901903,2.95776988276215,3.88908639600665,1.67841242526399,3.95220852219875,4.12148927895956,5.67443208141943,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8195622635198
"28","2023-12-14",1,"123",45.42979,-73.93957,2,2.69947099540143,2.64467585340331,3.65929715174074,6.6727359600167,3.00400036423108,3.2159599333093,4.68954220327769,7.2162612732551,118.3,118.3,118.3,118.3,355,355,355,355,20,20,20,20,15,15,15,15,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.2922892988141
