"ch","ID","Sex","Site","First_Date","Last_Date"
"000001101011110000000000000001100","641","M",2,2024-11-23,2025-05-14
"000001011011110011101111111100000","645","M",2,2024-11-23,2025-04-22
"000000000011100000100111111000000","625b","M",1,2024-12-22,2025-04-17
"000110111011110011101111111101111","627","M",4,2024-11-08,2025-05-27
"111101111111111111111111111111111","610","F",6,2024-10-16,2025-05-27
"001011111111000000000000000000000","616","F",5,2024-11-01,2025-01-04
"000111111111111111000000000000000","626","F",5,2024-11-04,2025-02-15
"000111000000010000000000000000000","618b","F",6,2024-11-04,2025-01-18
"000110110111111100000000000000000","619","F",6,2024-11-08,2025-01-27
"000011111111000000000000000000000","633","M",6,2024-11-15,2024-12-31
"000001111111111111111100000000000","634","F",5,2024-11-17,2025-03-12
"010101101111111110111110000000000","614","F",4,2024-10-22,2025-03-16
"010100110101111101000000000000000","608","F",4,2024-10-24,2025-02-09
"011111111101111101111111111000000","617","F",3,2024-10-26,2025-04-19
"000111101111111110111111110000000","620","F",4,2024-11-03,2025-04-06
"000111111101111000000000000001100","623","F",4,2024-11-03,2025-05-14
"000110001101111110111100000000000","630","M",4,2024-11-08,2025-03-11
"000001110101111001111111111100000","631","F",4,2024-11-17,2025-04-24
"000001111101011101111100000000000","635","M",3,2024-11-17,2025-03-09
"000001111101011111111100001100000","637","M",3,2024-11-17,2025-04-24
